idx,num_tokens,label,pt_yes,pt_no,pt_pred,fhe_yes,fhe_no,fhe_pred,time_sec
5,69,1,18.3750,17.4219,Yes,18.3714,17.4277,Yes,367.1
0,60,1,18.0312,16.8906,Yes,18.0311,16.8874,Yes,398.6
1,75,0,18.0625,17.1562,Yes,18.0722,17.1673,Yes,417.0
2,99,0,18.0312,16.8125,Yes,18.0363,16.8105,Yes,409.4
3,63,1,18.4688,17.5312,Yes,18.4682,17.5249,Yes,423.5
4,58,0,18.5312,17.2031,Yes,18.5369,17.2071,Yes,422.7
6,82,0,17.9531,17.0312,Yes,17.9511,17.0298,Yes,414.1
7,83,1,18.0938,17.3125,Yes,18.1005,17.3243,Yes,418.7
8,73,1,18.1875,16.7969,Yes,18.1834,16.8019,Yes,417.1
9,73,1,17.9688,17.0625,Yes,17.9774,17.0702,Yes,406.8
10,94,1,18.0000,16.9531,Yes,18.0042,16.9663,Yes,414.4
11,71,0,17.9688,16.9219,Yes,17.9804,16.9240,Yes,423.4
12,90,0,18.1094,17.0312,Yes,18.1075,17.0245,Yes,415.2
13,96,1,17.7812,16.5469,Yes,17.7806,16.5596,Yes,416.8
14,75,1,18.2188,17.1562,Yes,18.2198,17.1663,Yes,434.9
15,77,1,18.2188,17.0156,Yes,18.2127,17.0173,Yes,431.5
16,81,1,17.9219,17.0312,Yes,17.9182,17.0320,Yes,425.0
17,89,0,18.0469,16.7969,Yes,18.0401,16.8003,Yes,410.7
18,96,1,18.1250,16.7031,Yes,18.1246,16.7105,Yes,413.9
19,71,0,17.9531,16.7812,Yes,17.9459,16.7856,Yes,421.2
20,62,0,17.7656,16.8750,Yes,17.7648,16.8744,Yes,429.3
21,79,1,17.8438,16.6094,Yes,17.8501,16.6193,Yes,421.4
22,64,0,18.0625,17.1875,Yes,18.0670,17.1922,Yes,422.0
23,94,1,17.4375,16.2812,Yes,17.4352,16.2782,Yes,417.1
24,70,1,17.9688,17.1406,Yes,17.9640,17.1457,Yes,423.3
25,73,1,17.9844,16.8750,Yes,17.9785,16.8728,Yes,417.9
26,71,0,18.0781,16.9844,Yes,18.0865,16.9940,Yes,422.1
27,82,1,17.9062,16.7812,Yes,17.9128,16.7913,Yes,415.9
28,67,1,18.2188,17.3594,Yes,18.2234,17.3649,Yes,423.4
29,89,1,18.0469,16.7969,Yes,18.0390,16.7910,Yes,415.4
30,70,0,18.0938,16.9688,Yes,18.0952,16.9763,Yes,413.4
31,86,1,17.8750,16.6875,Yes,17.8752,16.6842,Yes,399.7
32,81,1,18.1406,16.9375,Yes,18.1375,16.9456,Yes,415.7
33,68,1,18.0781,16.9688,Yes,18.0787,16.9774,Yes,423.9
34,63,1,18.2500,17.2188,Yes,18.2507,17.2238,Yes,429.2
35,88,0,17.6094,16.5781,Yes,17.6054,16.5878,Yes,413.1
36,88,0,17.6562,16.5312,Yes,17.6558,16.5352,Yes,418.8
37,96,0,17.9844,17.0781,Yes,17.9888,17.0688,Yes,412.5
38,75,1,18.3281,16.6250,Yes,18.3237,16.6261,Yes,422.8
39,83,1,17.9844,17.1094,Yes,17.9895,17.1057,Yes,417.8
40,71,0,18.2656,17.0938,Yes,18.2680,17.0946,Yes,418.7
41,52,1,18.3594,16.9844,Yes,18.3552,16.9894,Yes,432.6
42,69,0,17.5625,16.6094,Yes,17.5690,16.6230,Yes,423.0
43,75,0,17.9688,17.0312,Yes,17.9748,17.0274,Yes,421.2
44,94,0,18.1406,16.8594,Yes,18.1407,16.8664,Yes,429.5
45,76,1,18.2031,16.9062,Yes,18.2134,16.9148,Yes,440.0
46,99,1,18.1875,16.8906,Yes,18.1969,16.8950,Yes,419.2
47,55,0,18.1719,16.9531,Yes,18.1752,16.9587,Yes,430.0
48,74,1,18.0625,16.8594,Yes,18.0736,16.8667,Yes,418.3
49,65,1,18.0469,16.7500,Yes,18.0555,16.7650,Yes,424.2
50,54,1,17.8750,16.8438,Yes,17.8695,16.8465,Yes,428.5
51,58,1,18.1406,16.9688,Yes,18.1330,16.9686,Yes,424.7
52,69,1,18.1875,16.9688,Yes,18.1923,16.9672,Yes,421.9
53,72,1,18.1250,16.8438,Yes,18.1342,16.8474,Yes,420.7
54,90,1,18.0938,17.1719,Yes,18.0957,17.1644,Yes,432.3
55,68,1,18.2969,17.0938,Yes,18.2960,17.0878,Yes,441.9
56,66,1,18.5312,17.5156,Yes,18.5405,17.5159,Yes,426.6
57,77,1,18.2656,17.1562,Yes,18.2652,17.1610,Yes,423.1
