idx,num_tokens,label,pt_yes,pt_no,pt_pred,fhe_yes,fhe_no,fhe_pred,time_sec
0,60,1,18.0312,16.8906,Yes,17.9382,16.8247,Yes,594.2
1,75,0,18.0625,17.1562,Yes,17.9479,17.0802,Yes,374.4
2,99,0,18.0312,16.8125,Yes,17.8553,16.6782,Yes,384.7
3,63,1,18.4688,17.5312,Yes,18.3730,17.4467,Yes,370.4
4,58,0,18.5312,17.2031,Yes,18.4520,17.1471,Yes,373.6
5,69,1,18.3750,17.4219,Yes,18.2584,17.3263,Yes,380.0
6,82,0,17.9531,17.0312,Yes,17.7792,16.8852,Yes,382.4
7,83,1,18.0938,17.3125,Yes,17.9364,17.1701,Yes,383.6
8,73,1,18.1875,16.7969,Yes,18.0082,16.6678,Yes,380.0
9,73,1,17.9688,17.0625,Yes,17.8124,16.9249,Yes,350.7
10,94,1,18.0000,16.9531,Yes,17.7852,16.8040,Yes,381.6
11,71,0,17.9688,16.9219,Yes,17.8795,16.8498,Yes,379.4
12,90,0,18.1094,17.0312,Yes,17.9511,16.9084,Yes,384.8
13,96,1,17.7812,16.5469,Yes,17.5403,16.3986,Yes,381.0
14,75,1,18.2188,17.1562,Yes,18.1062,17.0801,Yes,356.4
15,77,1,18.2188,17.0156,Yes,18.0718,16.9185,Yes,391.6
16,81,1,17.9219,17.0312,Yes,17.7213,16.8623,Yes,383.5
17,89,0,18.0469,16.7969,Yes,17.8736,16.6709,Yes,386.5
18,96,1,18.1250,16.7031,Yes,17.8743,16.5152,Yes,357.4
19,71,0,17.9531,16.7812,Yes,17.8066,16.6678,Yes,352.8
20,62,0,17.7656,16.8750,Yes,17.6950,16.8245,Yes,374.1
21,79,1,17.8438,16.6094,Yes,17.7165,16.5225,Yes,380.8
22,64,0,18.0625,17.1875,Yes,17.9675,17.1127,Yes,374.6
23,94,1,17.4375,16.2812,Yes,17.1820,16.0711,Yes,357.4
24,70,1,17.9688,17.1406,Yes,17.8728,17.0774,Yes,380.6
25,73,1,17.9844,16.8750,Yes,17.8182,16.7458,Yes,354.5
26,71,0,18.0781,16.9844,Yes,17.9574,16.9007,Yes,351.4
27,82,1,17.9062,16.7812,Yes,17.7086,16.6249,Yes,353.6
28,67,1,18.2188,17.3594,Yes,18.1412,17.3042,Yes,378.8
29,89,1,18.0469,16.7969,Yes,17.8275,16.6140,Yes,354.5
30,70,0,18.0938,16.9688,Yes,18.0022,16.9030,Yes,348.3
31,86,1,17.8750,16.6875,Yes,17.7164,16.5622,Yes,384.4
32,81,1,18.1406,16.9375,Yes,17.9963,16.8390,Yes,357.7
33,68,1,18.0781,16.9688,Yes,17.9661,16.8871,Yes,381.5
34,63,1,18.2500,17.2188,Yes,18.1660,17.1574,Yes,345.6
35,88,0,17.6094,16.5781,Yes,17.4217,16.4410,Yes,382.7
36,88,0,17.6562,16.5312,Yes,17.4461,16.3666,Yes,356.7
37,96,0,17.9844,17.0781,Yes,17.7601,16.8844,Yes,357.8
38,75,1,18.3281,16.6250,Yes,18.1726,16.5062,Yes,354.0
39,83,1,17.9844,17.1094,Yes,17.8373,16.9873,Yes,360.1
40,71,0,18.2656,17.0938,Yes,18.1415,16.9807,Yes,351.5
41,52,1,18.3594,16.9844,Yes,18.2897,16.9397,Yes,369.5
42,69,0,17.5625,16.6094,Yes,17.4493,16.5300,Yes,349.9
43,75,0,17.9688,17.0312,Yes,17.8289,16.9022,Yes,350.4
44,94,0,18.1406,16.8594,Yes,17.9346,16.7212,Yes,358.3
45,76,1,18.2031,16.9062,Yes,18.0607,16.8061,Yes,382.1
46,99,1,18.1875,16.8906,Yes,18.0318,16.7825,Yes,362.0
47,55,0,18.1719,16.9531,Yes,18.0861,16.8892,Yes,369.3
48,74,1,18.0625,16.8594,Yes,17.9492,16.7645,Yes,382.0
49,65,1,18.0469,16.7500,Yes,17.9732,16.7063,Yes,381.2
50,54,1,17.8750,16.8438,Yes,17.8030,16.7905,Yes,370.4
51,58,1,18.1406,16.9688,Yes,18.0560,16.9113,Yes,344.1
52,69,1,18.1875,16.9688,Yes,18.0498,16.8532,Yes,352.6
53,72,1,18.1250,16.8438,Yes,18.0165,16.7412,Yes,384.2
54,90,1,18.0938,17.1719,Yes,17.9069,17.0256,Yes,362.0
55,68,1,18.2969,17.0938,Yes,18.1943,17.0123,Yes,356.4
56,66,1,18.5312,17.5156,Yes,18.4582,17.4523,Yes,383.6
57,77,1,18.2656,17.1562,Yes,18.1544,17.0825,Yes,353.5
58,59,1,18.4688,17.2344,Yes,18.4010,17.1796,Yes,376.8
59,93,1,18.5781,17.2188,Yes,18.4401,17.1345,Yes,388.5
60,96,0,17.7188,16.6094,Yes,17.4758,16.4234,Yes,360.6
61,94,1,17.7656,16.5625,Yes,17.4826,16.3508,Yes,361.7
62,80,1,17.8125,16.7969,Yes,17.6625,16.6900,Yes,384.4
63,80,1,17.7656,16.7188,Yes,17.5867,16.5788,Yes,358.2
64,53,1,17.9375,16.9531,Yes,17.8607,16.9049,Yes,374.8
65,81,0,18.2500,16.7188,Yes,18.0923,16.5961,Yes,358.9
66,88,1,18.0781,17.0156,Yes,17.8957,16.8689,Yes,356.6
67,78,1,18.0781,16.9219,Yes,17.9980,16.8708,Yes,385.4
68,93,0,17.7969,16.7031,Yes,17.6179,16.5658,Yes,382.4
69,70,1,18.3906,17.3594,Yes,18.2882,17.2676,Yes,355.0
70,84,1,17.9844,16.7344,Yes,17.8466,16.6330,Yes,387.3
71,81,1,18.0469,16.9375,Yes,17.8731,16.7881,Yes,388.8
72,93,1,18.0625,16.8438,Yes,17.8636,16.6881,Yes,373.4
73,84,1,18.2344,17.0625,Yes,18.0768,16.9416,Yes,421.3
74,52,1,18.2812,17.2344,Yes,18.2022,17.1857,Yes,344.0
75,67,1,18.2344,17.1719,Yes,18.1258,17.0887,Yes,351.7
76,49,0,18.2188,17.0469,Yes,18.1796,17.0237,Yes,373.4
77,102,1,17.8906,16.8125,Yes,17.6335,16.6050,Yes,388.7
78,62,1,18.2031,16.8438,Yes,18.1260,16.7809,Yes,349.1
79,77,1,18.0156,17.0156,Yes,17.9441,16.9539,Yes,352.9
80,72,0,18.1094,16.8281,Yes,17.9986,16.7316,Yes,354.6
81,81,1,18.3594,17.0938,Yes,18.1931,16.9692,Yes,354.8
82,75,1,18.3281,17.0625,Yes,18.1885,16.9608,Yes,354.8
83,56,0,18.1094,17.0781,Yes,18.0225,17.0186,Yes,375.1
84,75,1,18.0469,16.7500,Yes,17.8802,16.6357,Yes,355.0
85,86,0,18.1094,17.1250,Yes,17.9750,17.0135,Yes,360.6
86,70,1,18.2812,17.1094,Yes,18.1575,17.0215,Yes,351.8
87,54,0,18.2031,17.2656,Yes,18.1212,17.1998,Yes,344.8
88,80,1,17.8281,16.7031,Yes,17.7093,16.6173,Yes,357.7
89,83,1,18.2344,16.9062,Yes,18.0709,16.7769,Yes,355.7
90,84,0,18.1406,17.0938,Yes,17.9911,16.9779,Yes,358.2
91,72,1,18.0781,17.0781,Yes,17.9595,16.9818,Yes,352.9
92,63,1,18.1875,17.1094,Yes,18.0408,16.9834,Yes,346.1
93,84,0,18.2188,17.0000,Yes,18.0604,16.8914,Yes,363.9
94,79,1,18.1406,16.9219,Yes,17.9589,16.7800,Yes,359.8
95,72,1,18.2969,17.2188,Yes,18.1724,17.1122,Yes,353.6
96,61,0,18.4375,17.2969,Yes,18.3518,17.2253,Yes,371.3
97,66,1,18.2344,16.7500,Yes,18.1063,16.6309,Yes,351.7
98,79,1,18.1719,17.0781,Yes,18.0506,16.9787,Yes,357.0
99,68,1,18.0625,16.7031,Yes,17.9397,16.6277,Yes,356.6
100,87,1,18.1562,17.1094,Yes,18.0366,17.0189,Yes,388.8
101,89,1,17.7969,16.5781,Yes,17.5433,16.3888,Yes,358.1
102,72,1,18.0938,17.0469,Yes,17.9215,16.9081,Yes,382.8
103,80,1,17.8438,16.7344,Yes,17.6916,16.6163,Yes,390.5
104,88,0,17.8906,16.8906,Yes,17.7073,16.7486,Yes,385.1
105,89,1,17.5781,16.6094,Yes,17.4181,16.4788,Yes,389.0
106,90,1,17.8438,16.8594,Yes,17.6977,16.7391,Yes,384.7
